game.rom	game.name	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
005	005		1981	Maze / Shooter Small				2	1	2	joy4way		60	V	3	4	256	224	R	
10yard	10-Yard Fight (World, set 1)	Irem	1983	Sports / Football				2	2	2	joy8way		56.737589	H			256	224	R	
10yard85	10-Yard Fight '85 (US, Taito license)	Irem (Taito license)	1985	Sports / Football		10yard	10yard	2	2	2	joy8way		56.737589	H			256	224	R	
10yardj	10-Yard Fight (Japan)	Irem	1983	Sports / Football	10yard	10yard		2	2	2	joy8way		56.737589	H			256	224	R	
11beat	Eleven Beat	Hudson	1998	Sports / Soccer	aleck64	aleck64		2	4	2	joy8way		60	H			640	240	R	
18wheelr	18 Wheeler (deluxe, Rev A)	Sega	2000	Driving / Truck Guide	naomi	naomi		2	6	1	joy8way		60	H			640	480	R	
1941	1941: Counter Attack (World 900227)	Capcom	1990	Shooter / Flying Vertical				2	2	2	joy8way		59.61	V			384	224	R	
1941j	1941: Counter Attack (Japan)	Capcom	1990	Shooter / Flying Vertical	1941	1941		2	2	2	joy8way		59.61	V			384	224	R	
1941r1	1941: Counter Attack (World)	Capcom	1990	Shooter / Flying Vertical		1941	1941			2				V	3	4	384	224	R	
1941u	1941: Counter Attack (USA 900227)	Capcom	1990	Shooter / Flying Vertical		1941	1941			2				V	3	4	384	224	R	
1942	1942 (Revision B)	Capcom	1984	Shooter / Flying Vertical				2	2	2	joy8way		60	V			256	224	R	
1942a	1942 (Revision A)	Capcom	1984	Shooter / Flying Vertical	1942	1942		2	2	2	joy8way		60	V			256	224	R	
1942abl	1942 (Revision A, bootleg)	bootleg	1984	Shooter / Flying Vertical	1942	1942		2	2	2	joy8way		60	V			256	224	R	
1942b	1942 (First Version)	Capcom	1984	Shooter / Flying Vertical	1942	1942		2	2	2	joy8way		60	V			256	224	R	
1942h	Supercharger 1942	hack (Two Bit Score?)	1991	Shooter / Flying Vertical		1942	1942			2				V	3	4	256	224	R	
