zzyzzyxx2.rom	game.name	game.name.short	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	game.mature	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
005	005	005	Sega	1981	Maze / Shooter Small	UNKNOWN	UNKNOWN	UNKNOWN	2	1	2	joy4way		UNKNOWN	60	V	3	4	256	224	R
100lions	100 Lions (10219211, NSW/ACT)	100 Lions	Aristocrat	200?	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
10yard	10-Yard Fight (World, set 1)	10-Yard Fight	Irem	1983	Sports / Football	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	56.737589	H	UNKNOWN	UNKNOWN	256	224	R
10yard85	10-Yard Fight '85 (US, Taito license)	10-Yard Fight '85	Irem (Taito license)	1985	Sports / Football	UNKNOWN	10yard	10yard	2	2	2	joy8way		UNKNOWN	56.737589	H	UNKNOWN	UNKNOWN	256	224	R
10yardj	10-Yard Fight (Japan)	10-Yard Fight	Irem	1983	Sports / Football	10yard	10yard	UNKNOWN	2	2	2	joy8way		UNKNOWN	56.737589	H	UNKNOWN	UNKNOWN	256	224	R
11beat	Eleven Beat	Eleven Beat	Hudson	1998	Sports / Soccer	aleck64	aleck64	UNKNOWN	2	4	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	640	240	R
1292apvs	1292 Advanced Programmable Video System	1292 Advanced Programmable Video System	Radofin	1976	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	50.000000	H	UNKNOWN	UNKNOWN	177	270	UNKNOWN
1392apvs	1392 Advanced Programmable Video System	1392 Advanced Programmable Video System	Radofin	1976	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	50.000000	H	UNKNOWN	UNKNOWN	177	270	UNKNOWN
18wheelr	18 Wheeler (deluxe, Rev A)	18 Wheeler	Sega	2000	Driving / Truck Guide	naomi	naomi	UNKNOWN	2	6	1	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	640	480	R
18wheels	18 Wheeler (standard)	18 Wheeler	Sega	2000	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	61.702586	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
18wheelu	18 Wheeler (upright)	18 Wheeler	Sega	2000	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	61.702586	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
1941	1941: Counter Attack (World 900227)	1941: Counter Attack	Capcom	1990	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.61	V	UNKNOWN	UNKNOWN	384	224	R
1941j	1941: Counter Attack (Japan)	1941: Counter Attack	Capcom	1990	Shooter / Flying Vertical	1941	1941	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.61	V	UNKNOWN	UNKNOWN	384	224	R
1941r1	1941: Counter Attack (World)	1941: Counter Attack	Capcom	1990	Shooter / Flying Vertical	UNKNOWN	1941	1941	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.637405	V	3	4	384	224	R
1941u	1941: Counter Attack (USA 900227)	1941: Counter Attack	Capcom	1990	Shooter / Flying Vertical	UNKNOWN	1941	1941	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.637405	V	3	4	384	224	R
1942	1942 (Revision B)	1942	Capcom	1984	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
1942a	1942 (Revision A)	1942	Capcom	1984	Shooter / Flying Vertical	1942	1942	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
1942abl	1942 (Revision A, bootleg)	1942	bootleg	1984	Shooter / Flying Vertical	1942	1942	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
1942b	1942 (First Version)	1942	Capcom	1984	Shooter / Flying Vertical	1942	1942	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
1942h	Supercharger 1942	Supercharger 1942	hack (Two Bit Score?)	1991	Shooter / Flying Vertical	UNKNOWN	1942	1942	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	V	3	4	256	224	R
1942p	1942 (Tecfri PCB, bootleg?)	1942	bootleg	1984	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	V	UNKNOWN	UNKNOWN	256	224	UNKNOWN
1942w	1942 (Williams Electronics license)	1942	Capcom (Williams Electronics license)	1985	Shooter / Flying Vertical	1942	1942	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
1943	1943: The Battle of Midway (Euro)	1943: The Battle of Midway	Capcom	1987	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
1943b	1943: Battle of Midway (bootleg, hack of Japan set)	1943: Battle of Midway	bootleg	1987	Shooter / Flying Vertical	UNKNOWN	1943	1943	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	V	3	4	256	224	R
1943b2	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	UNKNOWN	V	3	4	256	224	R
1943bj	1943: Midway Kaisen (bootleg)	1943: Midway Kaisen	bootleg	1987	Shooter / Flying Vertical	UNKNOWN	1943	1943	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	V	3	4	256	224	R
1943j	1943: Midway Kaisen (Japan, Rev B)	1943: Midway Kaisen	Capcom	1987	Shooter / Flying Vertical	1943	1943	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
1943ja	1943: Midway Kaisen (Japan)	1943: Midway Kaisen	Capcom	1987	Shooter / Flying Vertical	UNKNOWN	1943	1943	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	V	3	4	256	224	R
1943ja2	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	UNKNOWN	V	3	4	256	224	R
1943kai	1943 Kai: Midway Kaisen (Japan)	1943 Kai: Midway Kaisen	Capcom	1987	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
1943mii	1943: The Battle of Midway Mark II (US)	1943: The Battle of Midway Mark II	UNKNOWN	1987	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	UNKNOWN	V	3	4	256	224	R
1943u	1943: The Battle of Midway (US, Rev C)	1943: The Battle of Midway	Capcom	1987	Shooter / Flying Vertical	UNKNOWN	1943	1943	2	2	2	joy8way		UNKNOWN	60.000000	V	3	4	256	224	R
1943ua	1943: The Battle of Midway (US)	1943: The Battle of Midway	Capcom	1987	Shooter / Flying Vertical	UNKNOWN	1943	1943	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	V	3	4	256	224	R
1944	1944: The Loop Master (USA 000620)	1944: The Loop Master	Eighting / Raizing (Capcom license)	2000	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	H	UNKNOWN	UNKNOWN	384	224	R
1944ad	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	UNKNOWN	H	4	3	384	224	R
1944d	1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)	1944: The Loop Master	bootleg	2000	Shooter / Flying Vertical	1944	1944	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	H	UNKNOWN	UNKNOWN	384	224	R
1944j	1944: The Loop Master (Japan 000620)	1944: The Loop Master	Eighting / Raizing (Capcom license)	2000	Shooter / Flying Vertical	1944	1944	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	H	UNKNOWN	UNKNOWN	384	224	R
1945kiii	1945k III (newer, OPCX2 PCB)	1945k III	Oriental Soft	2000	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	1	4	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	224	R
1945kiiio	1945k III (older, OPCX1 PCB)	1945k III	Oriental Soft	1999	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	1945kiii	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	V	3	4	320	224	R
19in1	19 in 1 MAME bootleg	19 in 1 MAME bootleg	bootleg	2004	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	V	UNKNOWN	UNKNOWN	296	480	UNKNOWN
19xx	19XX: The War Against Destiny (USA 951207)	19XX: The War Against Destiny	Capcom	1996	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	V	UNKNOWN	UNKNOWN	384	224	R
19xxa	19XX: The War Against Destiny (Asia 960104)	19XX: The War Against Destiny	Capcom	1996	Shooter / Flying Vertical	19xx	19xx	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	V	UNKNOWN	UNKNOWN	384	224	R
19xxar1	19XX: The War Against Destiny (Asia 951207)	19XX: The War Against Destiny	Capcom	1996	Shooter / Flying Vertical	UNKNOWN	19xx	19xx	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.637405	V	3	4	384	224	R
19xxb	19XX: The War Against Destiny (Brazil 951218)	19XX: The War Against Destiny	Capcom	1996	Shooter / Flying Vertical	19xx	19xx	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	V	UNKNOWN	UNKNOWN	384	224	R
19xxd	19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)	19XX: The War Against Destiny	bootleg	1996	Shooter / Flying Vertical	19xx	19xx	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	V	UNKNOWN	UNKNOWN	384	224	R
19xxh	19XX: The War Against Destiny (Hispanic 951218)	19XX: The War Against Destiny	Capcom	1996	Shooter / Flying Vertical	19xx	19xx	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	V	UNKNOWN	UNKNOWN	384	224	R
19xxj	19XX: The War Against Destiny (Japan 960104, yellow case)	19XX: The War Against Destiny	Capcom	1996	Shooter / Flying Vertical	19xx	19xx	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	V	UNKNOWN	UNKNOWN	384	224	R
19xxjr1	19XX: The War Against Destiny (Japan 951225)	19XX: The War Against Destiny	Capcom	1996	Shooter / Flying Vertical	19xx	19xx	UNKNOWN	2	2	2	joy8way		UNKNOWN	59.629403	V	UNKNOWN	UNKNOWN	384	224	R
19xxjr2	19XX: The War Against Destiny (Japan 951207)	19XX: The War Against Destiny	Capcom	1996	Shooter / Flying Vertical	UNKNOWN	19xx	19xx	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	59.637405	V	3	4	384	224	R
1on1gov	1 on 1 Government (Japan)	1 on 1 Government	Tecmo	2000	Sports / Basketball	tps	tps	UNKNOWN	4	3	4	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	640	480	R
2020bb	2020 Super Baseball (set 1)	2020 Super Baseball	SNK / Pallas	1991	Sports / Baseball	neogeo	neogeo	UNKNOWN	2	4	2	joy8way		UNKNOWN	59.185606	H	UNKNOWN	UNKNOWN	320	224	R
2020bba	2020 Super Baseball (set 2)	2020 Super Baseball	SNK / Pallas	1991	Sports / Baseball	2020bb	2020bb	UNKNOWN	2	4	2	joy8way		UNKNOWN	59.185606	H	UNKNOWN	UNKNOWN	320	224	R
2020bbh	2020 Super Baseball (set 3)	2020 Super Baseball	SNK / Pallas	1991	Sports / Baseball	2020bb	2020bb	UNKNOWN	2	4	2	joy8way		UNKNOWN	59.185606	H	UNKNOWN	UNKNOWN	320	224	R
20pacgala	Ms. Pac-Man/Galaga - 20 Year Reunion (V1.01)	Ms. Pac-Man/Galaga - 20 Year Reunion	UNKNOWN	2000	UNKNOWN	20pacgal	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	V	UNKNOWN	UNKNOWN	288	224	R
